task,string_square_sequence,program,new_solved,distinct_programs,most_frequent_program,abs_count,task_freq,rel_count
13,5040302010544332214433,[{'R4{f}R4{l}': 1}],1,1.0,R4{f}R4{l},1.0,126.0,0.007936507936507936
13,504030201054433221443424,[{'R4{f}R3{l}R2{f}': 1}],1,1.0,R4{f}R3{l}R2{f},1.0,126.0,0.007936507936507936
13,50403020105443322144342414,[{'R4{f}R3{l}R3{f}': 1}],1,1.0,R4{f}R3{l}R3{f},1.0,126.0,0.007936507936507936
13,5040302010544333231303,[{'R4{f}R3{}lR4{f}': 1}],1,1.0,R4{f}R3{}lR4{f},1.0,126.0,0.007936507936507936
13,5040302010544333231303-12,"[{'R2{ffffl}': 1, 'R4{f}lR4{f}l': 1}]",2,2.0,R2{ffffl},2.0,126.0,0.015873015873015872
13,5040302010544334,"[{'fffflr': 1, 'R4{f}lr': 1}]",2,2.0,fffflr,2.0,126.0,0.015873015873015872
13,50403020105443342414,[{'R4{f}lrff': 1}],1,1.0,R4{f}lrff,1.0,126.0,0.007936507936507936
13,5040302010544421,"[{'R5{f}': 7, 'fffff': 1, 'R4{f}fR2{}': 1, 'R4{f}f': 6, 'R4{f}R4{}f': 1, 'fffffR2{}': 1}]",17,6.0,R5{f},17.0,126.0,0.1349206349206349
13,50403020105444211054,"[{'R4{s}sl': 1, 'R4{f}fl': 1, 'ffsffl': 1}]",3,3.0,R4{s}sl,3.0,126.0,0.023809523809523808
13,5040302010544421105443,[{'R2{ff}fll': 1}],1,1.0,R2{ff}fll,1.0,126.0,0.007936507936507936
13,504030201054442110544421105444211054,[{'R4{f}R3{fl}R2{}': 1}],1,1.0,R4{f}R3{fl}R2{},1.0,126.0,0.007936507936507936
13,504030201054442111,"[{'ffffff': 2, 'ffffR2{f}': 1, 'R2{fff}': 1, 'R3{f}R3{f}': 1}]",5,4.0,ffffff,5.0,126.0,0.03968253968253968
13,50403020105444211101,"[{'R4{f}R3{f}': 1, 'R7{s}': 1}]",2,2.0,R4{f}R3{f},2.0,126.0,0.015873015873015872
13,50403020105444211101-11,"[{'R2{ffff}': 1, 'R10{f}': 2, 'R9{f}': 1, 'R4{f}R5{f}': 1}]",5,4.0,R10{f},5.0,126.0,0.03968253968253968
13,50403020105444211203,[{'R4{f}frr': 1}],1,1.0,R4{f}frr,1.0,126.0,0.007936507936507936
13,50403020105444211203-14,[{'R4{f}fR4{r}l': 1}],1,1.0,R4{f}fR4{r}l,1.0,126.0,0.007936507936507936
13,50403020105445,"[{'R4{s}R3{rs}': 1, 'R4{f}R4{r}': 2, 'ffffrs': 1, 'ffffR4{r}': 1, 'R4{f}R4{r}R4{f}': 1}]",6,5.0,R4{f}R4{r},6.0,126.0,0.047619047619047616
13,504030201102,[{'fffrr': 1}],1,1.0,fffrr,1.0,126.0,0.007936507936507936
13,5040302144,[{'R2{f}r': 1}],1,1.0,R2{f}r,1.0,126.0,0.007936507936507936
13,504030214434241404-15,[{'R2{ffrff}': 1}],1,1.0,R2{ffrff},1.0,126.0,0.007936507936507936
13,50403021443425,[{'R2{s}rsrs': 1}],1,1.0,R2{s}rsrs,1.0,126.0,0.007936507936507936
13,5040312144,[{'fR4{}rf': 1}],1,1.0,fR4{}rf,1.0,126.0,0.007936507936507936
13,504131221203-13,[{'R7{rf}': 1}],1,1.0,R7{rf},1.0,126.0,0.007936507936507936
14,32,[{nan: 22}],22,1.0,?,22.0,96.0,0.22916666666666666
14,3221,[{'l': 2}],2,1.0,l,2.0,96.0,0.020833333333333332
14,32211001-12,[{'llrr': 1}],1,1.0,llrr,1.0,96.0,0.010416666666666666
14,322111,"[{'lfr': 2, 'lf': 1}]",3,2.0,lfr,3.0,96.0,0.03125
14,3222,"[{'s': 1, 'f': 14}]",15,2.0,f,15.0,96.0,0.15625
14,322211,"[{'flsr': 1, 'flrfr': 2, 'flffr': 2, 'flrl': 1, 'fll': 2, 'flrf': 1, 'fllrf': 3, 'fllrr': 4, 'fl': 2, 'flr': 2, 'fllr': 2, 'fllrrf': 1, 'fllrl': 1, 'flflr': 1, 'flllf': 1}]",26,15.0,fllrr,26.0,96.0,0.2708333333333333
14,322212,"[{'ss': 1, 'ff': 2, 'ffl': 1, 'ffllrf': 1}]",5,4.0,ff,5.0,96.0,0.052083333333333336
14,322213,[{'fr': 3}],3,1.0,fr,3.0,96.0,0.03125
14,32221302,[{'frl': 3}],3,1.0,frl,3.0,96.0,0.03125
14,32221302-11,"[{'frll': 1, 'frllr': 1}]",2,2.0,frll,2.0,96.0,0.020833333333333332
14,32221302-12,[{'frlflf': 1}],1,1.0,frlflf,1.0,96.0,0.010416666666666666
14,32221303,[{'frf': 2}],2,1.0,frf,2.0,96.0,0.020833333333333332
14,32221303-12,"[{'frflfflf': 1, 'frfl': 3}]",4,2.0,frfl,4.0,96.0,0.041666666666666664
14,32221303-13,"[{'frffl': 1, 'frff': 1}]",2,2.0,frffl,2.0,96.0,0.020833333333333332
14,32221303-14,[{'frfr': 1}],1,1.0,frfr,1.0,96.0,0.010416666666666666
14,32221304-14,[{'frrfl': 2}],2,1.0,frrfl,2.0,96.0,0.020833333333333332
14,3223,"[{'r': 1, 'rlf': 1}]",2,2.0,r,2.0,96.0,0.020833333333333332
15,62,"[{'W{}Ix=1{s}': 1, 'Wx!=5{I{}}': 1, nan: 7, 'I{r}W{}': 1}]",10,4.0,?,10.0,34.0,0.29411764705882354
15,625143324434,[{'llf': 1}],1,1.0,llf,1.0,34.0,0.029411764705882353
15,6251433253423322,[{'W!b{l}': 1}],1,1.0,W!b{l},1.0,34.0,0.029411764705882353
15,62514332534351,"[{'llf': 1, 'R2{l}f': 1}]",2,2.0,llf,2.0,34.0,0.058823529411764705
15,62514333423253,[{'lff': 1}],1,1.0,lff,1.0,34.0,0.029411764705882353
15,62514334,[{'W!b{lr}': 1}],1,1.0,W!b{lr},1.0,34.0,0.029411764705882353
15,625241,[{'sI!b{l}/{}': 1}],1,1.0,sI!b{l}/{},1.0,34.0,0.029411764705882353
15,625242332321,[{'sff': 2}],2,1.0,sff,2.0,34.0,0.058823529411764705
15,6252423323211101,[{'W!b{s}': 1}],1,1.0,W!b{s},1.0,34.0,0.029411764705882353
